d/s=0.500001	
1.0521	4.205
1.0521	4.247
1.0521	4.289
1.0521	4.332
1.0521	4.375
1.0521	4.419
1.0521	4.463
1.0521	4.508
1.0521	4.553
1.0521	4.599
1.0521	4.645
1.0521	4.691
1.0521	4.738
1.0521	4.785
1.0521	4.833
1.0521	4.882
1.0521	4.930
1.0521	4.980
1.0521	5.029


d/s=3	
1.9950	0.100
1.9950	0.105
1.9950	0.110
1.9950	0.116
1.9950	0.122
1.9950	0.128
1.9950	0.134
1.9950	0.141
1.9950	0.148
1.9950	0.155
1.9950	0.163
1.9950	0.171
1.9950	0.180
1.9950	0.189
1.9950	0.198
1.9950	0.208
1.9950	0.218
1.9950	0.229
1.9950	0.241
1.9950	0.253
1.9950	0.265
1.9950	0.279
1.9950	0.293
1.9950	0.295
1.9950	0.298
1.9950	0.301
1.9950	0.304
1.9950	0.307
1.9950	0.311
1.9950	0.314
1.9950	0.317
1.9950	0.320
1.9950	0.323
1.9950	0.326
1.9950	0.330
1.9950	0.333
1.9950	0.336
1.9950	0.340
1.9950	0.343
1.9950	0.346
1.9950	0.350
1.9950	0.353
1.9950	0.357
1.9950	0.361
1.9950	0.364
1.9950	0.368
1.9950	0.371
1.9950	0.375
1.9950	0.379
1.9950	0.383
1.9950	0.387
1.9950	0.390
1.9950	0.394
1.9950	0.398
1.3231	0.402
1.3231	0.422
1.3231	0.443
1.3231	0.466
1.3231	0.489
1.3231	0.513
1.3231	0.539
1.3231	0.566
1.3231	0.594
1.3231	0.624
1.3231	0.655
1.3231	0.688
1.3231	0.722
1.3231	0.758
1.3231	0.796
1.3231	0.836
1.3231	0.878
1.3231	0.922
1.3231	0.968
1.3231	1.016
1.3231	1.067
1.3231	1.121
1.3231	1.177
1.3231	1.235
1.3231	1.297
1.3231	1.362
1.3231	1.430
1.3231	1.502
1.3231	1.577
1.3231	1.656
1.3231	1.738
1.3231	1.825
1.3231	1.916
1.3231	2.012
1.3231	2.113
1.3231	2.219
1.3231	2.330
1.3231	2.446
1.3231	2.568
1.3231	2.697
1.3231	2.832
1.3231	2.973
1.0564	3.003
1.0320	3.033
1.0320	3.063
1.0320	3.094
1.0320	3.125
1.0320	3.156
1.0320	3.188
1.0320	3.219
1.0320	3.252
1.0320	3.284
1.0320	3.317
1.0320	3.350
1.0320	3.384
1.0320	3.418
1.0320	3.452
1.0320	3.486
1.0320	3.521
1.0320	3.556
1.0320	3.592
1.0320	3.628
1.0320	3.664
1.0320	3.701
1.0320	3.738
1.0320	3.775
1.0320	3.813
1.0320	3.851
1.0320	3.889
1.0320	3.928
1.0320	3.968
1.0320	4.007
1.0320	4.047
1.0320	4.088
1.0320	4.129
1.0320	4.170
1.0320	4.212
1.0320	4.254
1.0320	4.296
1.0320	4.339
1.0320	4.383
1.0320	4.427
1.0320	4.471
1.0320	4.516
1.0320	4.561
1.0320	4.606
1.0320	4.652
1.0320	4.699
1.0320	4.746
1.0320	4.793
1.0320	4.841
1.0320	4.890
1.0320	4.939
1.0320	4.988
1.0320	5.038
1.0320	5.088


d/s=5	
2.0272	0.040
2.0272	0.042
2.0272	0.044
2.0272	0.046
2.0272	0.049
2.0272	0.051
2.0272	0.054
2.0272	0.056
2.0272	0.059
2.0272	0.062
2.0272	0.065
2.0272	0.068
2.0272	0.072
2.0272	0.075
2.0272	0.079
2.0272	0.083
2.0272	0.087
2.0272	0.092
2.0272	0.096
2.0272	0.101
2.0272	0.106
2.0272	0.111
2.0272	0.117
2.0272	0.123
2.0272	0.129
2.0272	0.135
2.0272	0.142
2.0272	0.144
2.0272	0.145
2.0272	0.147
2.0272	0.148
2.0272	0.149
2.0272	0.151
2.0272	0.152
2.0272	0.154
2.0272	0.156
2.0272	0.157
2.0272	0.159
2.0272	0.160
2.0272	0.162
2.0272	0.163
2.0272	0.165
2.0272	0.167
2.0272	0.168
2.0272	0.170
2.0272	0.172
2.0272	0.174
2.0272	0.175
2.0272	0.177
2.0272	0.179
2.0272	0.181
2.0272	0.182
2.0272	0.184
2.0272	0.186
2.0272	0.188
2.0272	0.190
2.0272	0.192
2.0272	0.194
2.0272	0.196
2.0272	0.198
2.0272	0.199
2.0272	0.201
2.0272	0.203
2.0272	0.206
2.0272	0.208
2.0272	0.210
2.0272	0.212
2.0272	0.214
2.0272	0.216
1.2816	0.218
1.2816	0.229
1.2816	0.241
1.2816	0.253
1.2816	0.265
1.2816	0.278
1.2816	0.292
1.2816	0.307
1.2816	0.322
1.2816	0.338
1.2816	0.355
1.2816	0.373
1.2816	0.392
1.2816	0.411
1.2816	0.432
1.2816	0.454
1.2816	0.476
1.2816	0.500
1.2816	0.525
1.2816	0.551
1.2816	0.579
1.2816	0.608
1.2816	0.638
1.2816	0.670
1.2816	0.704
1.2816	0.739
1.2816	0.776
1.2816	0.815
1.2816	0.855
1.2816	0.898
1.2816	0.943
1.2816	0.990
1.2816	1.040
1.2816	1.092
1.2816	1.146
1.2816	1.203
1.2816	1.264
1.2816	1.327
1.2816	1.393
1.2816	1.463
1.2816	1.536
1.2816	1.613
1.2816	1.693
1.2816	1.778
1.2816	1.867
1.2816	1.960
1.2816	2.058
1.2816	2.161
1.2816	2.269
1.2816	2.383
1.2816	2.502
1.2816	2.627
1.2816	2.758
1.2816	2.896
1.2816	3.041
1.2816	3.193
1.0249	3.225
1.0149	3.257
1.0149	3.290
1.0149	3.323
1.0149	3.356
1.0149	3.390
1.0149	3.423
1.0149	3.458
1.0149	3.492
1.0149	3.527
1.0149	3.562
1.0149	3.598
1.0149	3.634
1.0149	3.670
1.0149	3.707
1.0149	3.744
1.0149	3.782
1.0149	3.819
1.0149	3.858
1.0149	3.896
1.0149	3.935
1.0149	3.975
1.0149	4.014
1.0149	4.054
1.0149	4.095
1.0149	4.136
1.0149	4.177
1.0149	4.219
1.0149	4.261
1.0149	4.304
1.0149	4.347
1.0149	4.390
1.0149	4.434
1.0149	4.479
1.0149	4.523
1.0149	4.569
1.0149	4.614
1.0149	4.660
1.0149	4.707
1.0149	4.754
1.0149	4.802
1.0149	4.850
1.0149	4.898
1.0149	4.947
1.0149	4.997
1.0149	5.047
1.0149	5.097
1.0149	5.148
1.0149	5.199
1.0149	5.251
1.0149	5.304
1.0149	5.357
1.0149	5.411
